image_name,extracted_text,cleaned_text,status
5949345152205785900_121.jpg,"directly resize
=====================
BASE:  torch.Size([1, 100, 1280])
NO PATCHES
=====================
خصوصات قويه من نابس ون علي المنتجات الأفضل مبيعا  
بالاضافة لكون خصم نابس ون SE634  
تاخذين خصم فوق الخصم العروض  

نفس الدرجة بالشبع نابس ون  

ثبات يخرج بثبات !!!  
الصدق أشوف بديل ارخص  
من محدد هدى بيوتي البني  
الي سعر فوق ال 100 ريال  

0:08  

1. 0.1  
2. 0.1  
3. 0.1  
4. 0.1  

@wertymy1 · 1d  
#هشتاق بسعر مميز SE634  
*كل يوم أبيه*  

[إنني يوم الفصل كان ميقاتاً يوم ينتخب في الصور فتأتون أواجاً وكيفتت الشتاء فكانت أبواباً ومتزيّت الجبال فكانت سراباً وكانت جثّم كانت مرصاداً للظاهرين مآبا].  
[النيل: 17-2]  

1. 0.1  
2. 0.1  
3. 0  
4. 0.1  

nadeen ali @anadeenali1 · 3h  
الساحل السوري
",خصوصات قويه من نابس ون علي المنتجات الأفضل مبيعا بالاضافة لكون خصم نابس ون SE634 تاخذين خصم فوق الخصم العروض نفس الدرجة بالشبع نابس ون ثبات يخرج بثبات !!! الصدق أشوف بديل ارخص من محدد هدى بيوتي البني الي سعر فوق ال 100 ريال 0 08 1. 0.1 2. 0.1 3. 0.1 4. 0.1 wertymy1 1d هشتاق بسعر مميز SE634 كل يوم أبيه إنني يوم الفصل كان ميقاتاً يوم ينتخب في الصور فتأتون أواجاً وكيفتت الشتاء فكانت أبواباً ومتزي الجبال فكانت سراباً وكانت جث كانت مرصاداً للظاهرين مآبا . النيل 17-2 1. 0.1 2. 0.1 3. 0 4. 0.1 nadeen ali anadeenali1 3h الساحل السوري,SUCCESS
5949345152205785903_121.jpg,"directly resize
=====================
BASE:  torch.Size([1, 100, 1280])
NO PATCHES
=====================
""كاس مصر""

Top    Latest    People    Media    Lists

5    ❤️ 118    ❤️ 151    ❤️ 11.2K    🔥

Dr.Islam Sakr @DrIslamSakr · 1d  
الأهلي أمام المصرية للاتصالات  
لعب بـ ياسين مرعي وعمر كمال وجراديشار  
ومحمد شريف ومحمد شكري وحسين الشحات وأشرف داري  
ومصطفى العش وطاهر محمد طاهر ودبيل كوكا  
ويخسر ويخترج من دور الـ32 كاس مصر  
والجمهور مصدق ان الأهلي يبلغ بالناشئين  
هو نفس الجمهور اللي مصدق ان ناديه يبكسب بمجهوده  
معلش 🔥  

5    ❤️ 11    ❤️ 14    ❤️ 1.3K    🔥

@FatmaMo82... · 12h  
الأهلي للمرة الـ 10 يودعكاس مصر في الدور الـ 32  
بادى الفضائح 🔥  

المتحدث الوطني يسير في الترف المحمد - ادعوا حساب حسن
",كاس مصر Top Latest People Media Lists 5 118 151 11.2K Dr.Islam Sakr DrIslamSakr 1d الأهلي أمام المصرية للاتصالات لعب بـ ياسين مرعي وعمر كمال وجراديشار ومحمد شريف ومحمد شكري وحسين الشحات وأشرف داري ومصطفى العش وطاهر محمد طاهر ودبيل كوكا ويخسر ويخترج من دور الـ32 كاس مصر والجمهور مصدق ان الأهلي يبلغ بالناشئين هو نفس الجمهور اللي مصدق ان ناديه يبكسب بمجهوده معلش 5 11 14 1.3K FatmaMo82... 12h الأهلي للمرة الـ 10 يودعكاس مصر في الدور الـ 32 بادى الفضائح المتحدث الوطني يسير في الترف المحمد - ادعوا حساب حسن,SUCCESS
5949345152205785887_121.jpg,"directly resize
=====================
BASE:  torch.Size([1, 100, 1280])
NO PATCHES
=====================
# Music Chats & News

## Music Love
@ThoN... · 2d  
If you close your eyes, and just listen, very deep feelings emerges.  

4:15  

---

@Whtofismick · 2h  
me when i listen to music and fantasize about becoming everything i've always wanted to be  

---

+
","Music Chats News Music Love ThoN... 2d If you close your eyes, and just listen, very deep feelings emerges. 4 15 --- Whtofismick 2h me when listen to music and fantasize about becoming everything ve always wanted to be ---",SUCCESS
5949345152205785888_121.jpg,"directly resize
=====================
BASE:  torch.Size([1, 100, 1280])
NO PATCHES
=====================
R.O.K ❤️ @r0ktech · 3d  
When you're coding with music and bugs start appearing  

88    1379    4K    45.8K  

Harmony Music  
Love Music ❤️ @khnh80044 · 14h  
So beautiful💕💕
",. . r0ktech 3d When you re coding with music and bugs start appearing 88 1379 4K 45.8K Harmony Music Love Music khnh80044 14h So beautiful,SUCCESS
5949345152205785882_121.jpg,"directly resize
=====================
BASE:  torch.Size([1, 100, 1280])
NO PATCHES
=====================
Plant Based News @PlantB... · 1d  
LOVE this sign.  

Plant-based diets have consistently been shown to carry significant health benefits when compared to meat.  

It is estimated that around 92 billion land animals are killed for **food** each year. On top of that, approximately two trillion fish are killed annually. Show more  

Image: @vgean.lt  

Plants have **PROTEIN**,  
animals have **FEELINGS**,  
and humans have **OPTIONS**.  

107   193   339   5.7K
","Plant Based News PlantB... 1d LOVE this sign. Plant-based diets have consistently been shown to carry significant health benefits when compared to meat. It is estimated that around 92 billion land animals are killed for food each year. On top of that, approximately two trillion fish are killed annually. Show more Image vgean.lt Plants have PROTEIN , animals have FEELINGS , and humans have OPTIONS . 107 193 339 5.7K",SUCCESS
5949345152205785896_121.jpg,"directly resize
=====================
BASE:  torch.Size([1, 100, 1280])
NO PATCHES
=====================
# Iman  
@49cashmere · 2s  
Replying to @Snipergoat8675  
@HerbsandDirt and 2 others  

This video was made during Christmas period, likely Christmas Eve, where kids are most likely home with their parents during the **holiday**. Some of these facilities shown in that video have been permanently closed years ago for infractions and were not even receiving any funding.  

---

# Rizz Ler  
@RizzL97849 · 5s  
#ExpressStyleHolidayPlans  
Let's check out what **holiday** #ExpressStyleTips our passengers have! Follow & post to receive replies from Express passengers immediately! Please see on the **holiday** and **welcome**  

---

# HonkaiStarRail  
@honkaistarrail · 2h  
HonkaiStarRail  
Express STYLE End-Of-Year Holiday Plans Event (Part 2)  
Can't think of how to unwind on your long-awaited holiday other than sleeping it away?...  

---

# sari  
@faewhm · 6s  
Replying to @meows4heals  
I'm not a fan of the holiday season, but I do love the idea of a long weekend off.
","Iman 49cashmere 2s Replying to Snipergoat8675 HerbsandDirt and 2 others This video was made during Christmas period, likely Christmas Eve, where kids are most likely home with their parents during the holiday . Some of these facilities shown in that video have been permanently closed years ago for infractions and were not even receiving any funding. --- Rizz Ler RizzL97849 5s ExpressStyleHolidayPlans Let check out what holiday ExpressStyleTips our passengers have! Follow post to receive replies from Express passengers immediately! Please see on the holiday and welcome --- HonkaiStarRail honkaistarrail 2h HonkaiStarRail Express STYLE End-Of-Year Holiday Plans Event Part 2 Can think of how to unwind on your long-awaited holiday other than sleeping it away?... --- sari faewhm 6s Replying to meows4heals not fan of the holiday season, but do love the idea of long weekend off.",SUCCESS
5949345152205785904_121.jpg,"directly resize
=====================
BASE:  torch.Size([1, 100, 1280])
NO PATCHES
=====================
""كاس مصر""

Top    Latest    People    Media    Lists

Gamal@Gamalxx5h · 14h  
كويس ان كاس مصر مش تبع الرابطة كان زمان ديباب طلع لائحة باطلة واعد المباراة او خلالهم يكسبوا ويقلب النتيجة ايلا الله عجب العجاب

---

كان مصر - دور الـ 32  
27 ديسمبر 2025  
17:00  
On sports 1  

---

### فايزر  
2 - 1  

---

### الصحرية للاطلاعات  
### السالم  
### جهاد المالوي  

---

81° مسطحي غزوي  
41° عمر كمال عبد  

---

Mohamed shehtaAhly  
... 22h  

---

الخروج المهني من كاس مصر في دور الـ 32  
يلازم اللاعبين العالقة الذي لم يقدموا شيء للنادي الأهلي واخرهم يلعبوا في فريق متزيل الجدول الدوري !!!

---

تخيل في وسط الاستقرار المالي والاداري ولعيبته بنتخذ فلوسها في وقتها وفي ميعادها وينتعب في النادي الأهلي يعني انت واحد فرصة غيرك Show more
",كاس مصر Top Latest People Media Lists Gamal Gamalxx5h 14h كويس ان كاس مصر مش تبع الرابطة كان زمان ديباب طلع لائحة باطلة واعد المباراة او خلالهم يكسبوا ويقلب النتيجة ايلا الله عجب العجاب --- كان مصر - دور الـ 32 27 ديسمبر 2025 17 00 On sports 1 --- فايزر 2 - 1 --- الصحرية للاطلاعات السالم جهاد المالوي --- 81 مسطحي غزوي 41 عمر كمال عبد --- Mohamed shehtaAhly ... 22h --- الخروج المهني من كاس مصر في دور الـ 32 يلازم اللاعبين العالقة الذي لم يقدموا شيء للنادي الأهلي واخرهم يلعبوا في فريق متزيل الجدول الدوري !!! --- تخيل في وسط الاستقرار المالي والاداري ولعيبته بنتخذ فلوسها في وقتها وفي ميعادها وينتعب في النادي الأهلي يعني انت واحد فرصة غيرك Show more,SUCCESS
5949345152205785907_121.jpg,"directly resize
=====================
BASE:  torch.Size([1, 100, 1280])
NO PATCHES
=====================
# People

## View all

### قوائد الخس الصحية
- **مفيد لتنزيل الوزن**
  - **تعزيز المناعة**
    - **زيادة نظارة البشر**
    - **تغذية صحية الدماغ**
    - **تغذية صحية الدماغ**
    - **تغذية صحبة الدماغ**
    - **تغذية صحبة الدماغ**
    - **تغذيه صحية الدماغ**
    - **تغذية صحية الدماغ**
    - **تعزيز صحية الدماغ**
    - **تعزيز صحية الدماغ**
    - **تعزيم صحية الدماغ**
    - **تعزيز صحية الدماغ**
    - **تعزيض صحية الدماغ**
    - **تعزيز صحية الدماغ**
    - **تعريض صحية الدماغ**
    - **تعزيز صحية الدماغ**
    - **تغذيه صحية الدماغ**
    - **تغيير صحية الدماغ**
    - **تغذيه صحية الدماغ**
    - تعزيز صحية الدماغ
    - تعزيز صحية الدماغ
    - تعزيز صحية الدماغ
    -
    - تعزيز صحية الدماغ
    - تعزيز صحية الدماغ
    -

### مفيد لتحقيق فوز في كأس أمم أفريقيا
- **تأخرنا:**
",People View all قوائد الخس الصحية - مفيد لتنزيل الوزن - تعزيز المناعة - زيادة نظارة البشر - تغذية صحية الدماغ - تغذية صحية الدماغ - تغذية صحبة الدماغ - تغذية صحبة الدماغ - تغذيه صحية الدماغ - تغذية صحية الدماغ - تعزيز صحية الدماغ - تعزيز صحية الدماغ - تعزيم صحية الدماغ - تعزيز صحية الدماغ - تعزيض صحية الدماغ - تعزيز صحية الدماغ - تعريض صحية الدماغ - تعزيز صحية الدماغ - تغذيه صحية الدماغ - تغيير صحية الدماغ - تغذيه صحية الدماغ - تعزيز صحية الدماغ - تعزيز صحية الدماغ - تعزيز صحية الدماغ - - تعزيز صحية الدماغ - تعزيز صحية الدماغ - مفيد لتحقيق فوز في كأس أمم أفريقيا - تأخرنا,SUCCESS
5949345152205785891_121.jpg,"directly resize
=====================
BASE:  torch.Size([1, 100, 1280])
NO PATCHES
=====================
For You    Trending    News    Sports    Enterta

257    17.4K    81.2K    1.8M

Creepy.org  @creepydotorg · 13h  
Millie Bobby Brown’s face in ‘Stranger Things’ Season 5.

235    12.7K    74K    999K

Pop Base  @PopBase · 1d  
Happy 71st birthday to the iconic Denzel Washington.
",For You Trending News Sports Enterta 257 17.4K 81.2K 1.8M Creepy.org creepydotorg 13h Millie Bobby Brown face in Stranger Things Season 5. 235 12.7K 74K 999K Pop Base PopBase 1d Happy 71st birthday to the iconic Denzel Washington.,SUCCESS
5949345152205785890_121.jpg,"directly resize
=====================
BASE:  torch.Size([1, 100, 1280])
NO PATCHES
=====================
""Putin and Russia""

From acorns to mighty oaks ... · 17h  
Replying to @highbrow_nobrow  
Bravo. We need much more of this. Its time we openly declared Trump as Putin and Russia's comrade. Its what we have all been thinking. Speaking the truth now matters more than ever.

TIME

Dr Bob Smith @DrBobSmith1.6h  
Pretty Darn Clear!!! Trump is selling o Zelenskyy and Ukraine to Putin and Russia.  
Yep. Trump bending over again for his best
",Putin and Russia From acorns to mighty oaks ... 17h Replying to highbrow_nobrow Bravo. We need much more of this. Its time we openly declared Trump as Putin and Russia comrade. Its what we have all been thinking. Speaking the truth now matters more than ever. TIME Dr Bob Smith DrBobSmith1.6h Pretty Darn Clear!!! Trump is selling Zelenskyy and Ukraine to Putin and Russia. Yep. Trump bending over again for his best,SUCCESS
5949345152205785884_121.jpg,"directly resize
=====================
BASE:  torch.Size([1, 100, 1280])
NO PATCHES
=====================
# technology

## Top | Latest | People | Media | Lists

### technical explanation by researchers studying the Buga spheres in Colombia.  
These spheres are seamless, lacking any welding marks, and surpass human technology.  
#Buga #spheres  

---

### 58 comments

---

### 47.9K

---

### 4K

---

### 516K

---

### S.T.E.M Explorer  
@stemexp... · 5d  
Evolution of human technology  

---

### HUMAN TECHNOLOGY  
A Journey Through Key Milestones in Innovation and Progress  

#### AGRICULTURAL REVOLUTION  
**Agricultural Revolution**  
The Agricultural Revolution was a period of technological development in the 18th and 19th centuries that led to the transition from hand tools to machines.  

#### META AGE TECHNOLOGY  
**Meta Age Technology**  
Meta Age Technology is a term used to describe the integration of advanced technologies into everyday life.  

#### INDUSTRIAL REVOLUTION  
**Industrial Revolution**  
The Industrial Revolution was a period of rapid industrialization that began in the late 18th century and continued into the 19th century. It was characterized by the use of steam power, the development of new manufacturing processes, and the growth of cities.  

#### STONE AGE TOOLS  
**Stone Age Tools**  
The Stone Age was a period of human prehistory characterized by the use of stone tools.  

#### INVENTION OF THE WHEEL  
**Invention of the Wheel**  
The invention of the wheel revolutionized transportation and industry.  

#### PRINTING PRESS  
**Printing Press**  
The printing press is a device for applying pressure to an inked surface resting upon it, thereby transferring an image.  

#### ELECTRICITY AND  
**Electricity and Magnetism**  
Electricity and magnetism are two closely related phenomena that have played a crucial role in the development of modern technology.
","technology Top Latest People Media Lists technical explanation by researchers studying the Buga spheres in Colombia. These spheres are seamless, lacking any welding marks, and surpass human technology. Buga spheres --- 58 comments --- 47.9K --- 4K --- 516K --- . . . Explorer stemexp... 5d Evolution of human technology --- HUMAN TECHNOLOGY Journey Through Key Milestones in Innovation and Progress AGRICULTURAL REVOLUTION Agricultural Revolution The Agricultural Revolution was period of technological development in the 18th and 19th centuries that led to the transition from hand tools to machines. META AGE TECHNOLOGY Meta Age Technology Meta Age Technology is term used to describe the integration of advanced technologies into everyday life. INDUSTRIAL REVOLUTION Industrial Revolution The Industrial Revolution was period of rapid industrialization that began in the late 18th century and continued into the 19th century. It was characterized by the use of steam power, the development of new manufacturing processes, and the growth of cities. STONE AGE TOOLS Stone Age Tools The Stone Age was period of human prehistory characterized by the use of stone tools. INVENTION OF THE WHEEL Invention of the Wheel The invention of the wheel revolutionized transportation and industry. PRINTING PRESS Printing Press The printing press is device for applying pressure to an inked surface resting upon it, thereby transferring an image. ELECTRICITY AND Electricity and Magnetism Electricity and magnetism are two closely related phenomena that have played crucial role in the development of modern technology.",SUCCESS
5949345152205785897_121.jpg,"directly resize
=====================
BASE:  torch.Size([1, 100, 1280])
NO PATCHES
=====================
Karin Magana @HAUSA_PRO... · 2m  
ShareX Is Redefining How Web3 Meets the Real World 🌐  
Web3 has long promised mass adoption, but few projects truly connect blockchain technology with everyday life. ShareX is changing that narrative by building the Web3 Consumer and Financial Layer for the global sharing  

ShareX  
ShareX  
ShareX  

Shivam @ShivamPatralekh · 2m  
Agentic AI will change how banks make decisions.
","Karin Magana HAUSA_PRO... 2m ShareX Is Redefining How Web3 Meets the Real World Web3 has long promised mass adoption, but few projects truly connect blockchain technology with everyday life. ShareX is changing that narrative by building the Web3 Consumer and Financial Layer for the global sharing ShareX ShareX ShareX Shivam ShivamPatralekh 2m Agentic AI will change how banks make decisions.",SUCCESS
5949345152205785880_121.jpg,"directly resize
=====================
BASE:  torch.Size([1, 100, 1280])
NO PATCHES
=====================
# Gully Foyle #UKTrade

**Good morning @nowak_paul - seems you're all over the press this morning, saying Labour should explore rejoining the EU Customs Union because ""food prices are too high"".**

**Food prices are higher on average in the EU, and food price inflation since Brexit has been worse than the UK**

## CPI Food & Non-Alcoholic Beverages (2015 = 100)  
*(Data sources: ONS, Eurostat)*

- **EU27 (latest - Oct. 2025)**
- **UK (latest - Nov. 2025)**

Chart

**Chart**  
*Chart with my Julian Jessop @julianjessop*

---

**Dolly Parton**  
@DollyParton · 1d  

Cozy nights call for comfort food, without all the fuss.  
My single-serve beef pot roast is ready when you are. Just heat and eat! Visit bakingwithdolly.com to learn more.  
#DollysFrozenMeals
","Gully Foyle UKTrade Good morning nowak_paul - seems you re all over the press this morning, saying Labour should explore rejoining the EU Customs Union because food prices are too high . Food prices are higher on average in the EU, and food price inflation since Brexit has been worse than the UK CPI Food Non-Alcoholic Beverages 2015 100 Data sources ONS, Eurostat - EU27 latest - Oct. 2025 - UK latest - Nov. 2025 Chart Chart Chart with my Julian Jessop julianjessop --- Dolly Parton DollyParton 1d Cozy nights call for comfort food, without all the fuss. My single-serve beef pot roast is ready when you are. Just heat and eat! Visit bakingwithdolly.com to learn more. DollysFrozenMeals",SUCCESS
5949345152205785908_121.jpg,"directly resize
=====================
BASE:  torch.Size([1, 100, 1280])
NO PATCHES
=====================
# @Ezzat443 · 1h
# لیلی_عبداللطيف
كاذبه ورب الكعبه  
قال الله تعالى إن الله عنده علم الساعة وينزل الغيث ويعلم ما في الأرض وما تدري نفس ماذا تكسب غدا وما تدري نفس بأي أرض تموت إن الله عليم خبير. 34 السجدة  
🔗 🔗 4 🔗 95 🔗 1  

@GafirMo98040 · 1h  
«الوحدة تمن الرؤية الواضحة.»  
— البير كامو  

# لیلی_عبداللطيف

---

@af_1164 · 1h  
# لیلی_عبداللطيف

هم ينتظرون راس السنه  
حنا ننتظر 13 رجب ليبك يا أبا عبدالله  
🔗 🔗 73 🔗 1  

@wertymy1 · 1h  
احمد الرشودي
",Ezzat443 1h لیلی_عبداللطيف كاذبه ورب الكعبه قال الله تعالى إن الله عنده علم الساعة وينزل الغيث ويعلم ما في الأرض وما تدري نفس ماذا تكسب غدا وما تدري نفس بأي أرض تموت إن الله عليم خبير. 34 السجدة 4 95 1 GafirMo98040 1h الوحدة تمن الرؤية الواضحة. البير كامو لیلی_عبداللطيف --- af_1164 1h لیلی_عبداللطيف هم ينتظرون راس السنه حنا ننتظر 13 رجب ليبك يا أبا عبدالله 73 1 wertymy1 1h احمد الرشودي,SUCCESS
5949345152205785895_121.jpg,"directly resize
=====================
BASE:  torch.Size([1, 100, 1280])
NO PATCHES
=====================
# DNG Comics  
@dngcomics · 3d  
Imagine the feeling of reaching the top of the mountain and taking in the fresh air  

To remind yourself of the place you came from  

To look back at the struggle and smile with your brothers  

This is the journey you must walk as a man  

---

**LED ZEPPELIN**  

---

**Arkham Comics**  
@Arkh... · 21 Dec
",DNG Comics dngcomics 3d Imagine the feeling of reaching the top of the mountain and taking in the fresh air To remind yourself of the place you came from To look back at the struggle and smile with your brothers This is the journey you must walk as man --- LED ZEPPELIN --- Arkham Comics Arkh... 21 Dec,SUCCESS
